eref	gender	d0	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10	d11	allages
DIABETIC_KETOACIDOSIS	F	7.0E-7	2.1E-6	1.4E-6	1.4E-6	3.6E-6	6.8E-6	5.7E-6	5.7E-6	4.3E-6	1.1E-6	0.0	0.0	3.17E-5
DIABETIC_MACULAR_EDEMA	M	0.0	0.0	0.0	0.0	2.1E-6	5.7E-6	1.5E-5	1.32E-5	2.1E-6	0.0	0.0	0.0	3.81E-5
DIABETIC_MACULAR_EDEMA	F	0.0	0.0	4.0E-7	0.0	7.0E-7	5.0E-6	1.18E-5	1.6E-5	4.6E-6	4.0E-7	0.0	0.0	3.88E-5
DIABETIC_NEPHROPATHY	M	0.0	0.0	4.0E-7	2.1E-6	1.0E-5	2.78E-5	8.41E-5	1.535E-4	7.69E-5	8.9E-6	0.0	0.0	3.623E-4
DIABETIC_NEPHROPATHY	F	0.0	0.0	7.0E-7	2.8E-6	6.4E-6	2.56E-5	9.73E-5	1.546E-4	9.23E-5	1.14E-5	7.0E-7	0.0	3.912E-4
DIABETIC_POLYNEUROPATHY	M	0.0	4.0E-7	4.0E-7	3.6E-6	1.57E-5	6.88E-5	1.471E-4	1.87E-4	9.01E-5	1.35E-5	0.0	0.0	5.262E-4
DIABETIC_POLYNEUROPATHY	F	0.0	0.0	1.1E-6	8.5E-6	1.6E-5	6.06E-5	1.436E-4	1.881E-4	1.119E-4	1.92E-5	1.4E-6	0.0	5.504E-4
DIABETIC_RETINOPATHY	M	0.0	7.0E-7	1.1E-6	2.8E-6	9.6E-6	3.95E-5	9.01E-5	9.62E-5	3.78E-5	4.3E-6	0.0	0.0	2.818E-4
DIABETIC_RETINOPATHY	F	0.0	4.0E-7	1.1E-6	4.3E-6	1.46E-5	4.1E-5	9.33E-5	1.165E-4	5.09E-5	7.5E-6	4.0E-7	0.0	3.295E-4
DIABETICS_WHO_BECOME_PREGNANT	M	5.0E-6	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3E-6
DIABETICS_WHO_BECOME_PREGNANT	F	5.3E-6	4.0E-7	7.1E-6	2.32E-5	3.2E-6	0.0	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	3.38E-5
DIALYSIS	M	0.0	0.0	4.0E-7	4.0E-7	7.0E-7	7.0E-7	2.8E-6	4.6E-6	2.5E-6	4.0E-7	0.0	0.0	1.18E-5
DIALYSIS	F	4.0E-7	0.0	0.0	4.0E-7	4.0E-7	1.4E-6	2.8E-6	4.3E-6	3.2E-6	7.0E-7	0.0	0.0	1.28E-5
DIARRHEA	M	1.475E-4	5.74E-5	6.27E-5	9.01E-5	1.022E-4	1.293E-4	1.582E-4	1.617E-4	1.019E-4	1.5E-5	4.0E-7	0.0	0.0010263
DIARRHEA	F	1.325E-4	6.06E-5	1.396E-4	1.61E-4	1.721E-4	2.301E-4	3.153E-4	2.932E-4	1.66E-4	4.03E-5	1.8E-6	0.0	0.0017125
DIASTASIS_RECTI	M	0.0	4.0E-7	0.0	0.0	2.5E-6	1.8E-6	5.0E-6	2.5E-6	1.1E-6	0.0	0.0	0.0	1.32E-5
DIASTASIS_RECTI	F	0.0	0.0	0.0	7.0E-7	7.0E-7	4.0E-7	1.1E-6	1.4E-6	4.0E-7	0.0	0.0	0.0	4.6E-6
DIASTOLIC_HEART_FAILURE	M	0.0	0.0	0.0	4.0E-7	1.4E-6	6.1E-6	1.42E-5	2.32E-5	1.64E-5	5.7E-6	0.0	0.0	6.48E-5
DIASTOLIC_HEART_FAILURE	F	4.0E-7	0.0	0.0	7.0E-7	1.8E-6	7.8E-6	2.1E-5	2.96E-5	2.99E-5	1.21E-5	4.0E-7	0.0	9.94E-5
DIEULAFOY^S_LESION	M	0.0	0.0	0.0	0.0	0.0	4.0E-7	1.8E-6	7.0E-7	4.0E-7	0.0	0.0	0.0	3.2E-6
DIEULAFOY^S_LESION	F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	0.0	0.0	0.0	7.0E-7
DIFFUSE_GOITER	M	7.0E-7	7.0E-7	1.1E-6	2.5E-6	3.9E-6	6.4E-6	8.2E-6	5.3E-6	2.1E-6	4.0E-7	0.0	0.0	3.13E-5
DIFFUSE_GOITER	F	4.0E-7	1.1E-6	5.7E-6	1.53E-5	1.92E-5	1.82E-5	2.46E-5	2.03E-5	6.8E-6	1.1E-6	0.0	0.0	1.126E-4
DIFFUSE_LEWY_BODY_DISEASE	M	0.0	0.0	0.0	0.0	4.0E-7	0.0	2.5E-6	9.3E-6	8.2E-6	7.0E-7	0.0	0.0	2.1E-5
DIFFUSE_LEWY_BODY_DISEASE	F	0.0	0.0	0.0	0.0	0.0	0.0	1.1E-6	2.1E-6	6.8E-6	3.2E-6	0.0	0.0	1.32E-5
DIGEORGE_SYNDROME	M	7.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7
DIGESTIVE_SYSTEM_DISEASE	M	5.276E-4	1.92E-4	7.09E-5	1.56E-4	2.964E-4	5.582E-4	9.996E-4	0.0010092	4.204E-4	5.31E-5	1.8E-6	0.0	0.0034114
DIGESTIVE_SYSTEM_DISEASE	F	5.28E-4	1.831E-4	1.396E-4	2.369E-4	3.912E-4	6.024E-4	0.0010566	0.0011086	5.532E-4	9.23E-5	3.9E-6	0.0	0.0037644
DIGESTIVE_SYSTEM_NEOPLASM	M	4.0E-7	4.0E-7	5.0E-6	1.6E-5	5.56E-5	2.772E-4	3.876E-4	3.495E-4	1.062E-4	8.9E-6	7.0E-7	0.0	0.0012062
DIGESTIVE_SYSTEM_NEOPLASM	F	4.0E-7	1.1E-6	6.4E-6	1.78E-5	6.23E-5	2.344E-4	3.37E-4	3.025E-4	1.19E-4	7.5E-6	4.0E-7	0.0	0.001088
DIPHTHERIA	M	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	4.0E-7
DIPHTHERIA	F	0.0	0.0	7.0E-7	0.0	7.0E-7	7.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	1.4E-6
DIPHYLLOBOTHRIUM	M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	4.0E-7
DIPHYLLOBOTHRIUM	F	0.0	0.0	0.0	0.0	0.0	0.0	1.1E-6	7.0E-7	4.0E-7	0.0	0.0	0.0	2.1E-6
DIPLACUSIS	M	7.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7
DIPLEGIA	M	4.0E-7	0.0	0.0	0.0	7.0E-7	4.0E-7	4.0E-7	0.0	7.0E-7	0.0	0.0	0.0	2.5E-6
DIPLEGIA	F	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7	0.0	0.0	0.0	0.0	0.0	7.0E-7
DIPLOPIA	M	1.4E-6	3.9E-6	1.4E-6	2.1E-6	3.2E-6	6.8E-6	1.46E-5	1.96E-5	1.14E-5	7.0E-7	0.0	0.0	6.52E-5
DIPLOPIA	F	4.0E-7	1.4E-6	1.8E-6	2.1E-6	7.5E-6	1.03E-5	1.46E-5	1.99E-5	1.0E-5	2.8E-6	0.0	0.0	7.09E-5
DISASTER	M	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7
DISASTER	F	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
DISC_DISEASE	M	4.0E-7	3.6E-6	2.46E-5	5.91E-5	1.136E-4	1.767E-4	2.54E-4	2.109E-4	1.047E-4	1.53E-5	4.0E-7	0.0	9.487E-4
DISC_DISEASE	F	4.0E-7	6.4E-6	2.32E-5	6.7E-5	1.318E-4	2.419E-4	3.477E-4	3.388E-4	1.696E-4	2.81E-5	7.0E-7	0.0	0.0013409
DISCOID_LUPUS	M	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	7.0E-7
DISCOID_LUPUS	F	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
DISEASES_DUE_TO_VIRUSES_AND_CHLAMYDIAE	M	2.925E-4	1.503E-4	6.09E-5	6.52E-5	5.66E-5	6.41E-5	5.84E-5	5.49E-5	2.46E-5	2.1E-6	0.0	0.0	5.892E-4
DISEASES_DUE_TO_VIRUSES_AND_CHLAMYDIAE	F	2.985E-4	1.318E-4	7.16E-5	8.3E-5	8.51E-5	7.12E-5	7.94E-5	6.27E-5	2.46E-5	4.6E-6	7.0E-7	0.0	6.776E-4
DISORGANIZED_SCHIZOPHRENIA	M	0.0	0.0	1.1E-6	0.0	0.0	7.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	1.8E-6
DISORGANIZED_SCHIZOPHRENIA	F	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	1.1E-6
DISSECTING_AORTIC_ANEURYSM	M	0.0	0.0	0.0	7.0E-7	7.0E-7	1.4E-6	3.2E-6	4.3E-6	2.5E-6	4.0E-7	0.0	0.0	1.1E-5
DISSECTING_AORTIC_ANEURYSM	F	0.0	0.0	0.0	0.0	0.0	1.1E-6	2.5E-6	2.8E-6	3.2E-6	0.0	0.0	0.0	8.5E-6
DISSEMINATED_INTRAVASCULAR_COAGULATION	F	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
DIVERTICULITIS	M	0.0	0.0	2.1E-6	1.28E-5	2.17E-5	3.95E-5	6.52E-5	5.91E-5	3.38E-5	3.2E-6	0.0	0.0	2.376E-4
DIVERTICULITIS	F	0.0	0.0	7.0E-7	6.1E-6	2.1E-5	5.17E-5	1.012E-4	1.133E-4	5.84E-5	8.2E-6	0.0	0.0	3.605E-4
DIVERTICULOSIS	M	0.0	0.0	3.9E-6	1.32E-5	5.17E-5	2.173E-4	3.908E-4	4.293E-4	1.742E-4	1.75E-5	4.0E-7	0.0	0.0012982
DIVERTICULOSIS	F	0.0	0.0	1.8E-6	1.39E-5	6.73E-5	2.248E-4	4.642E-4	4.891E-4	2.401E-4	3.31E-5	7.0E-7	0.0	0.0015351
DIVERTICULUM	M	4.0E-7	7.0E-7	4.0E-7	4.0E-7	4.0E-7	1.4E-6	3.9E-6	6.8E-6	8.5E-6	1.1E-6	0.0	0.0	2.21E-5
DIVERTICULUM	F	4.0E-7	0.0	4.0E-7	7.0E-7	4.0E-7	1.4E-6	2.1E-6	5.0E-6	3.9E-6	2.5E-6	0.0	0.0	1.42E-5
DIZZINESS	M	4.6E-6	4.03E-5	3.95E-5	7.66E-5	1.222E-4	1.681E-4	2.736E-4	3.263E-4	2.098E-4	3.56E-5	7.0E-7	0.0	0.0012974
DIZZINESS	F	7.8E-6	6.06E-5	1.286E-4	1.685E-4	2.519E-4	2.968E-4	4.328E-4	4.816E-4	3.334E-4	6.34E-5	3.6E-6	0.0	0.002229
DNA_TESTING	F	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	7.0E-7
DOMESTIC_VIOLENCE	M	1.1E-6	4.0E-7	4.0E-7	0.0	0.0	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	1.4E-6
DOMESTIC_VIOLENCE	F	1.1E-6	3.2E-6	1.4E-6	1.4E-6	7.0E-7	4.0E-7	7.0E-7	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	6.1E-6
DONOVANOSIS	F	0.0	0.0	0.0	4.0E-7	4.0E-7	0.0	4.0E-7	1.1E-6	0.0	0.0	0.0	0.0	2.1E-6
DOWN^S_SYNDROME	M	1.8E-6	4.3E-6	1.1E-6	4.0E-7	7.0E-7	1.8E-6	4.0E-7	0.0	0.0	0.0	0.0	0.0	1.03E-5
DOWN^S_SYNDROME	F	3.9E-6	2.5E-6	7.0E-7	2.1E-6	1.8E-6	7.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	1.18E-5
DRESSLER^S_SYNDROME	M	0.0	0.0	0.0	0.0	4.0E-7	4.0E-7	2.5E-6	1.8E-6	7.0E-7	0.0	0.0	0.0	5.7E-6
DRESSLER^S_SYNDROME	F	0.0	0.0	0.0	0.0	0.0	1.1E-6	1.4E-6	1.4E-6	1.4E-6	4.0E-7	0.0	0.0	5.7E-6
DROWNING	M	7.0E-7	7.0E-7	0.0	0.0	4.0E-7	0.0	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	2.1E-6
DROWNING	F	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
DRUG_ADVERSE_EFFECT	M	8.9E-6	4.6E-6	3.9E-6	7.8E-6	1.42E-5	2.14E-5	2.96E-5	2.99E-5	1.78E-5	1.4E-6	0.0	0.0	1.396E-4
DRUG_ADVERSE_EFFECT	F	7.8E-6	6.8E-6	7.1E-6	1.53E-5	2.32E-5	3.1E-5	4.49E-5	5.24E-5	2.6E-5	5.0E-6	0.0	0.0	2.194E-4
DRUG_RESISTANCE	M	0.0	0.0	0.0	4.0E-7	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	0.0	7.0E-7
DRUG_RESISTANCE	F	0.0	0.0	4.0E-7	0.0	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	4.0E-7
DRUSEN	M	4.0E-7	1.1E-6	1.1E-6	1.8E-6	2.5E-6	7.1E-6	1.92E-5	3.63E-5	2.07E-5	3.6E-6	0.0	0.0	9.16E-5
DRUSEN	F	0.0	4.0E-7	1.8E-6	1.8E-6	5.3E-6	1.21E-5	3.78E-5	5.41E-5	4.52E-5	6.8E-6	4.0E-7	0.0	1.646E-4
DRY_EYES	M	0.0	0.0	0.0	0.0	7.0E-7	4.0E-7	1.1E-6	7.0E-7	1.1E-6	0.0	0.0	0.0	3.9E-6
DRY_EYES	F	0.0	0.0	0.0	4.0E-7	4.0E-7	7.0E-7	4.0E-7	1.8E-6	4.0E-7	4.0E-7	0.0	0.0	4.3E-6
DUCT_ECTASIA	M	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	4.0E-7
DUCT_ECTASIA	F	0.0	0.0	4.0E-7	3.6E-6	7.5E-6	9.3E-6	7.1E-6	5.3E-6	2.8E-6	0.0	0.0	0.0	3.6E-5
DUODENITIS	M	1.8E-6	1.4E-6	2.5E-6	7.8E-6	1.21E-5	1.67E-5	2.56E-5	2.42E-5	1.32E-5	1.8E-6	0.0	0.0	1.072E-4
DUODENITIS	F	1.4E-6	2.8E-6	4.6E-6	8.9E-6	1.14E-5	1.78E-5	2.92E-5	2.21E-5	1.14E-5	1.8E-6	0.0	0.0	1.115E-4
DUPUYTREN^S_CONTRACTURE	M	0.0	0.0	0.0	4.0E-7	1.8E-6	7.1E-6	1.5E-5	9.6E-6	2.8E-6	4.0E-7	0.0	0.0	3.7E-5
DUPUYTREN^S_CONTRACTURE	F	0.0	4.0E-7	0.0	0.0	1.1E-6	2.8E-6	1.07E-5	8.2E-6	3.6E-6	7.0E-7	0.0	0.0	2.74E-5
DWARFISM	M	1.4E-6	3.2E-6	1.1E-6	0.0	7.0E-7	4.0E-7	7.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	8.2E-6
DWARFISM	F	1.1E-6	1.8E-6	0.0	1.1E-6	1.1E-6	2.8E-6	7.0E-7	4.0E-7	0.0	0.0	0.0	0.0	8.9E-6
DYSARTHRIA	M	3.6E-6	7.0E-7	4.0E-7	1.1E-6	7.0E-7	1.4E-6	1.4E-6	2.8E-6	1.8E-6	4.0E-7	0.0	0.0	1.07E-5
DYSARTHRIA	F	7.0E-7	0.0	4.0E-7	7.0E-7	4.0E-7	7.0E-7	3.2E-6	2.1E-6	2.5E-6	4.0E-7	0.0	0.0	1.0E-5
DYSCHROMIA	M	6.4E-6	1.25E-5	1.32E-5	2.07E-5	4.06E-5	5.38E-5	8.41E-5	8.48E-5	4.06E-5	4.6E-6	0.0	0.0	3.612E-4
DYSCHROMIA	F	4.6E-6	1.14E-5	3.28E-5	7.69E-5	1.208E-4	1.343E-4	1.297E-4	1.147E-4	5.84E-5	7.1E-6	4.0E-7	0.0	6.911E-4
DYSGEUSIA	F	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
DYSHIDROSIS	M	3.2E-6	2.5E-6	3.2E-6	4.6E-6	4.6E-6	6.1E-6	6.4E-6	3.9E-6	1.4E-6	4.0E-7	0.0	0.0	3.63E-5
DYSHIDROSIS	F	3.2E-6	3.9E-6	5.0E-6	1.0E-5	7.5E-6	7.1E-6	1.14E-5	5.7E-6	1.8E-6	1.1E-6	0.0	0.0	5.66E-5
DYSKINESIA	M	0.0	0.0	4.0E-7	4.0E-7	4.0E-7	0.0	1.1E-6	1.1E-6	7.0E-7	4.0E-7	0.0	0.0	3.6E-6
DYSKINESIA	F	0.0	0.0	0.0	0.0	7.0E-7	1.4E-6	7.0E-7	1.8E-6	7.0E-7	0.0	0.0	0.0	4.3E-6
DYSLEXIA	M	1.1E-6	1.8E-6	4.0E-7	0.0	0.0	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	3.6E-6
DYSLEXIA	F	1.1E-6	7.0E-7	4.0E-7	0.0	7.0E-7	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	2.1E-6
DYSMENORRHEA	M	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
DYSMENORRHEA	F	0.0	8.59E-5	1.176E-4	1.19E-4	1.268E-4	2.89E-5	1.1E-6	1.1E-6	7.0E-7	0.0	0.0	0.0	4.809E-4
DYSPAREUNIA	M	0.0	4.0E-7	4.0E-7	0.0	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	1.4E-6
DYSPAREUNIA	F	0.0	4.0E-7	2.96E-5	4.35E-5	3.63E-5	3.7E-5	2.07E-5	5.0E-6	7.0E-7	0.0	0.0	0.0	1.731E-4
DYSPEPSIA	M	1.35E-5	2.24E-5	1.71E-5	3.03E-5	4.99E-5	7.59E-5	1.069E-4	1.354E-4	6.52E-5	1.0E-5	0.0	0.0	5.265E-4
DYSPEPSIA	F	1.42E-5	2.42E-5	3.28E-5	6.8E-5	9.65E-5	1.368E-4	1.934E-4	1.785E-4	1.019E-4	1.67E-5	4.0E-7	0.0	8.632E-4
DYSPHAGIA	M	9.3E-6	7.8E-6	1.0E-5	1.75E-5	3.78E-5	6.02E-5	1.09E-4	1.421E-4	8.51E-5	2.14E-5	7.0E-7	0.0	5.005E-4
DYSPHAGIA	F	7.1E-6	8.5E-6	1.53E-5	3.67E-5	5.88E-5	1.008E-4	1.596E-4	1.5E-4	1.154E-4	4.17E-5	2.8E-6	0.0	6.968E-4
DYSPHONIA	M	5.0E-6	3.6E-6	4.6E-6	3.2E-6	1.28E-5	1.89E-5	3.24E-5	2.71E-5	1.28E-5	1.8E-6	0.0	0.0	1.222E-4
DYSPHONIA	F	2.5E-6	5.0E-6	5.7E-6	1.5E-5	2.14E-5	2.89E-5	4.03E-5	4.17E-5	2.28E-5	2.5E-6	0.0	0.0	1.856E-4
DYSPLASIA	M	0.0	0.0	4.0E-7	0.0	4.0E-7	1.8E-6	5.3E-6	7.5E-6	3.9E-6	4.0E-7	4.0E-7	0.0	1.96E-5
DYSPLASIA	F	0.0	3.9E-6	1.062E-4	5.95E-5	3.13E-5	1.99E-5	1.14E-5	8.5E-6	2.5E-6	0.0	0.0	0.0	2.291E-4
DYSPNEA	M	9.05E-5	3.56E-5	4.84E-5	8.91E-5	1.624E-4	2.978E-4	5.091E-4	5.54E-4	3.199E-4	6.16E-5	1.1E-6	0.0	0.0021129
DYSPNEA	F	5.34E-5	4.74E-5	9.76E-5	1.674E-4	2.544E-4	4.065E-4	6.099E-4	6.338E-4	4.214E-4	1.058E-4	5.7E-6	0.0	0.0027712
DYSTHYMIA	M	4.0E-7	1.28E-5	2.28E-5	3.95E-5	5.09E-5	6.16E-5	6.31E-5	3.28E-5	2.1E-5	4.3E-6	0.0	0.0	3.092E-4
DYSTHYMIA	F	7.0E-7	2.17E-5	5.2E-5	9.01E-5	1.211E-4	1.478E-4	1.425E-4	1.183E-4	5.45E-5	8.5E-6	7.0E-7	0.0	7.581E-4
DYSTONIA	M	0.0	4.0E-7	4.0E-7	4.0E-7	1.1E-6	1.1E-6	7.0E-7	1.4E-6	0.0	0.0	0.0	0.0	4.6E-6
DYSTONIA	F	0.0	4.0E-7	1.1E-6	1.8E-6	1.1E-6	1.4E-6	2.5E-6	7.0E-7	1.1E-6	4.0E-7	0.0	0.0	7.8E-6
DYSTROPHY	M	0.0	4.0E-7	4.0E-7	4.0E-7	7.0E-7	0.0	4.0E-7	2.1E-6	4.0E-7	4.0E-7	0.0	0.0	3.9E-6
DYSTROPHY	F	4.0E-7	0.0	4.0E-7	4.0E-7	2.5E-6	3.9E-6	5.7E-6	3.9E-6	2.8E-6	4.0E-7	0.0	0.0	1.78E-5
DYSURIA	M	4.31E-5	3.21E-5	2.46E-5	2.99E-5	4.2E-5	5.77E-5	8.83E-5	1.083E-4	5.17E-5	9.6E-6	0.0	0.0	4.873E-4
DYSURIA	F	1.418E-4	9.9E-5	1.368E-4	1.607E-4	1.689E-4	1.888E-4	2.365E-4	2.063E-4	1.201E-4	2.85E-5	2.1E-6	0.0	0.0014895
EAR_DISEASE	M	5.493E-4	1.703E-4	5.95E-5	7.16E-5	7.55E-5	1.076E-4	1.828E-4	2.141E-4	1.343E-4	3.31E-5	4.0E-7	0.0	0.0011097
EAR_DISEASE	F	5.037E-4	1.653E-4	1.001E-4	1.297E-4	1.297E-4	1.282E-4	1.756E-4	2.123E-4	1.895E-4	4.7E-5	3.2E-6	0.0	0.0013441
EAR_FOREIGN_BODY	M	1.96E-5	3.9E-6	2.5E-6	3.9E-6	2.1E-6	3.6E-6	4.3E-6	6.4E-6	1.8E-6	4.0E-7	0.0	0.0	4.84E-5
EAR_FOREIGN_BODY	F	1.07E-5	4.6E-6	2.1E-6	1.8E-6	2.8E-6	4.6E-6	8.9E-6	3.6E-6	3.9E-6	4.0E-7	0.0	0.0	4.35E-5
EAR_TRAUMA	F	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	4.0E-7	0.0	0.0	0.0	7.0E-7
EARACHE	M	1.464E-4	6.27E-5	1.89E-5	2.46E-5	3.74E-5	3.67E-5	4.03E-5	3.06E-5	1.39E-5	1.4E-6	0.0	0.0	4.129E-4
EARACHE	F	1.461E-4	7.34E-5	4.99E-5	8.05E-5	7.84E-5	7.8E-5	8.87E-5	6.23E-5	3.46E-5	6.4E-6	4.0E-7	0.0	6.986E-4
EATING_DISORDER	M	4.6E-6	1.8E-6	7.0E-7	1.4E-6	4.0E-7	7.0E-7	1.4E-6	4.0E-7	1.1E-6	4.0E-7	0.0	0.0	7.8E-6
EATING_DISORDER	F	2.1E-6	6.4E-6	6.8E-6	3.6E-6	6.4E-6	6.4E-6	3.2E-6	1.4E-6	1.4E-6	7.0E-7	0.0	0.0	3.42E-5
EBSTEIN^S_ANOMALY	M	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
EBSTEIN^S_ANOMALY	F	4.0E-7	0.0	0.0	4.0E-7	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	1.1E-6
ECCHYMOSIS	M	5.0E-6	3.6E-6	1.4E-6	1.1E-6	3.2E-6	3.2E-6	8.9E-6	3.9E-6	5.7E-6	1.8E-6	0.0	0.0	3.78E-5
ECCHYMOSIS	F	5.7E-6	4.3E-6	7.5E-6	5.7E-6	6.1E-6	9.3E-6	1.32E-5	1.03E-5	9.3E-6	1.8E-6	0.0	0.0	7.3E-5
ECHINOCOCCOSIS	M	0.0	0.0	0.0	0.0	0.0	4.0E-7	1.1E-6	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	1.8E-6
ECHINOCOCCOSIS	F	0.0	0.0	0.0	0.0	4.0E-7	1.4E-6	0.0	1.4E-6	4.0E-7	0.0	0.0	0.0	3.2E-6
ECHINOCOCCUS_GRANULOSUS	M	0.0	0.0	0.0	4.0E-7	0.0	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	1.1E-6
ECHINOCOCCUS_GRANULOSUS	F	0.0	0.0	4.0E-7	4.0E-7	0.0	0.0	4.0E-7	1.1E-6	4.0E-7	4.0E-7	0.0	0.0	2.1E-6
ECHINOCOCCUS_MULTILOCULARIS	F	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	7.0E-7
ECHOVIRUS	F	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7
ECTASIA	F	0.0	0.0	4.0E-7	3.6E-6	7.5E-6	9.3E-6	7.1E-6	5.3E-6	2.8E-6	4.0E-7	0.0	0.0	3.6E-5
ECTODERMAL_DYSPLASIA	M	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
ECTODERMAL_DYSPLASIA	F	0.0	4.0E-7	4.0E-7	1.1E-6	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	2.1E-6
ECTOPIC_HORMONE_SECRETION	M	0.0	0.0	4.0E-7	4.0E-7	0.0	7.0E-7	1.1E-6	7.0E-7	7.0E-7	0.0	0.0	0.0	2.1E-6
ECTOPIC_HORMONE_SECRETION	F	0.0	0.0	0.0	4.0E-7	7.0E-7	7.0E-7	7.0E-7	1.1E-6	7.0E-7	4.0E-7	0.0	0.0	2.5E-6
ECTOPIC_PREGNANCY	F	0.0	0.0	4.3E-6	8.5E-6	1.4E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42E-5
ECTROPION	M	0.0	0.0	0.0	4.0E-7	4.0E-7	1.1E-6	2.8E-6	5.7E-6	9.3E-6	2.8E-6	0.0	0.0	2.07E-5
ECTROPION	F	0.0	0.0	1.8E-6	2.5E-6	3.6E-6	7.0E-7	1.1E-6	3.2E-6	5.3E-6	1.8E-6	4.0E-7	0.0	1.14E-5
ECZEMA_HERPETICUM	M	4.3E-6	7.0E-7	0.0	1.1E-6	7.0E-7	7.0E-7	1.1E-6	0.0	0.0	0.0	0.0	0.0	8.5E-6
ECZEMA_HERPETICUM	F	2.1E-6	7.0E-7	1.1E-6	1.1E-6	1.1E-6	1.8E-6	1.1E-6	7.0E-7	1.1E-6	0.0	0.0	0.0	1.07E-5
ECZEMATOUS_DERMATITIS	M	0.0	0.0	0.0	4.0E-7	4.0E-7	0.0	1.1E-6	4.0E-7	0.0	4.0E-7	0.0	0.0	2.5E-6
ECZEMATOUS_DERMATITIS	F	1.1E-6	7.0E-7	1.4E-6	1.4E-6	1.1E-6	2.5E-6	3.9E-6	1.4E-6	1.4E-6	4.0E-7	0.0	0.0	1.53E-5
EDEMA	M	1.6E-5	4.13E-5	2.74E-5	3.81E-5	6.91E-5	1.336E-4	2.394E-4	2.857E-4	1.952E-4	3.99E-5	1.1E-6	0.0	0.0010217
EDEMA	F	1.32E-5	2.85E-5	3.6E-5	8.37E-5	1.596E-4	2.451E-4	3.851E-4	4.314E-4	3.245E-4	9.12E-5	4.6E-6	0.0	0.0017698
