symptom	name	labs	labNames
FAMILIAL_INTRAHEPATIC_CHOLESTASIS_3	familial intrahepatic cholestasis 3	(GAMMA_GLUTAMYLTRANSFERASE_IN_SERUM)	(gamma-glutamyltransferase (GGT) in serum)
NIGHT_SWEATS	night sweats	(COMPLETE_BLOOD_COUNT HIV1_SEROLOGY 24_HOUR_URINE BLOOD_CULTURE BONE_MARROW_BIOPSY)	(complete blood count (CBC) HIV1 serology; HIV1 antibody (HIV1 EIA/ELISA, immunoblot) 24 hour urine blood culture bone marrow biopsy)
CONGENITAL_NEUTROPENIA_TYPE_3	congenital neutropenia type 3 (Kostmann disease)	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR BONE_MARROW_BIOPSY)	(complete blood count (CBC) peripheral blood smear bone marrow biopsy)
NEUTROPENIA_SEVERE_CONGENITAL_AUTOSOMAL_DOMINANT_TYPE_2	neutropenia severe congenital autosomal dominant type 2	(NEUTROPHIL_COUNT)	(neutrophil count)
CONGENITAL_NEUTROPENIA_G6PC3_TYPE	congenital neutropenia G6PC3 type	(COMPLETE_BLOOD_COUNT BONE_MARROW_BIOPSY)	(complete blood count (CBC) bone marrow biopsy)
PRIMARY_BILE_ACID_MALABSORPTION	primary bile acid malabsorption (PBAM)	(CHOLESTEROL_IN_SERUM/PLASMA)	(cholesterol in serum/plasma)
DIABETIC_KETOACIDOSIS	diabetic ketoacidosis (DKA)	(CREATININE_IN_SERUM/PLASMA ELECTROLYTE_PANEL SODIUM_IN_SERUM POTASSIUM_IN_SERUM BICARBONATE_IN_SERUM LIPASE_IN_SERUM AMYLASE_IN_SERUM ARTERIAL_BLOOD_GAS NEGATIVE_LOG_H+_CONCENTRATION KETONE_BODIES_IN_SERUM/PLASMA SERUM_OSMOLALITY COMPLETE_BLOOD_COUNT WHITE_BLOOD_CELL_COUNT CULTURE URINALYSIS ELECTROLYTES_IN_SERUM GLUCOSE_IN_SERUM/PLASMA)	(creatinine in serum/plasma electrolyte panel sodium (Na+) in serum potassium (K+) in serum/plasma bicarbonate (HCO3-) in serum lipase in serum amylase in serum arterial blood gas (ABG) - logarithm[10] H+ concentration (pH) ketone bodies in serum/plasma serum osmolality complete blood count (CBC) white blood cell count (WBC with WBC differential) culture urinalysis (UA) electrolytes in serum glucose in serum/plasma)
PEPTIC_ULCER	peptic ulcer disease (PUD)	(FECAL_OCCULT_BLOOD STOOL_GUAIAC COMPLETE_BLOOD_COUNT CREATININE_IN_SERUM/PLASMA CALCIUM_IN_SERUM/PLASMA ALBUMIN_IN_SERUM SEROLOGY CARBON_LABELLED_UREA_BREATH_TESTING H_PYLORI_STOOL_ANTIGEN_ASSAY SECRETIN_STIMULATION_TEST GASTRIN_IN_SERUM)	(fecal occult blood; fecal immunochemical testing; fecal immunofluorescence testing (FOB, FIT, iFOBT, ColonCARE, Hemoccult, ICT, InSure) stool guaiac complete blood count (CBC) creatinine in serum/plasma calcium (Ca+2) in serum/plasma/blood albumin in serum serology carbon-labeled urea breath testing (BreathTek UBT) Helicobacter pylori (H pylori) stool/tissue antigen assay secretin stimulation test gastrin in serum)
PRESSURE_ULCER	pressure ulcer (decubitus ulcer, bedsore)	(CULTURE)	(culture)
STASIS_ULCER	venous stasis ulcer	(WOUND_CULTURE CULTURE BLOOD_CULTURE)	(culture of wound culture blood culture)
CONGENITAL_CHLORIDE_DIARRHEA	congenital chloride diarrhea	(ELECTROLYTE_PANEL)	(electrolyte panel)
HEREDITARY_DIARRHEA_TYPE_3	hereditary diarrhea type 3	(ARTERIAL_BLOOD_GAS SODIUM_IN_SERUM SODIUM_IN_URINE)	(arterial blood gas (ABG) sodium (Na+) in serum sodium (Na+) in urine)
PULMONARY_INFILTRATE_IN_PATIENTS_WITH_AIDS	pulmonary infiltrate in patients with AIDS	(ARTERIAL_BLOOD_GAS)	(arterial blood gas (ABG))
ATRIAL_FIBRILLATION	atrial fibrillation (AF)	(THYROID_FUNCTION_TEST THEOPHYLLINE_IN_SERUM/PLASMA METANEPHRINES_IN_URINE PULSE_OXIMETRY DIGOXIN_IN_SERUM/PLASMA)	(thyroid function test theophylline in serum/plasma metanephrines in urine pulse oximetry digoxin in serum/plasma)
SUPRAVENTRICULAR_TACHYCARDIA	supraventricular tachycardia (SVT)	(THYROID_FUNCTION_TEST COMPLETE_BLOOD_COUNT)	(thyroid function test complete blood count (CBC))
NARROW_COMPLEX_TACHYCARDIA	narrow complex tachycardia	(THYROID_FUNCTION_TEST QUALITATIVE_URINE_DRUG_SCREEN 24_HOUR_URINE_METANEPHRINES)	(thyroid function test qualitative urine drug screen 24 hour urine metanephrines)
PYROGLUTAMIC_ACIDOSIS	pyroglutamic acidosis	(CHEMISTRY_7_PANEL ANION_GAP)	(chemistry 7 panel (Chem-7 SMA7) anion gap)
RENAL_TUBULAR_ACIDOSIS	renal tubular acidosis (RTA)	(ARTERIAL_BLOOD_GAS CHEMISTRY_7_PANEL BICARBONATE_IN_SERUM SODIUM_IN_SERUM POTASSIUM_IN_SERUM ANION_GAP)	(arterial blood gas (ABG) chemistry 7 panel (Chem-7 SMA7) bicarbonate (HCO3-) in serum sodium (Na+) in serum potassium (K+) in serum/plasma anion gap)
LACTIC_ACIDOSIS	lactic acidosis	(LACTATE_IN_SERUM/PLASMA ARTERIAL_BLOOD_GAS NEGATIVE_LOG_H+_CONCENTRATION ANION_GAP ELECTROLYTE_PANEL)	(lactate in serum/plasma arterial blood gas (ABG) - logarithm[10] H+ concentration (pH) anion gap electrolyte panel)
FEVER_OF_UNKNOWN_ORIGIN	fever of unknown origin (FUO)	(COMPLETE_BLOOD_COUNT BLOOD_CULTURE URINE_CULTURE URINALYSIS LIVER_FUNCTION_TEST THYROID_STIMULATING_HORMONE_IN_SERUM NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM RHEUMATOID_FACTOR ERYTHROCYTE_SEDIMENTATION_RATE C_REACTIVE_PROTEIN_IN_SERUM SERUM_PROTEIN_ELECTROPHORESIS HETEROPHILE_ANTIBODY_SCREEN CYTOMEGALOVIRUS_ANTIBODY_IN_SERUM/CSF/BODY_FLUID SEROLOGY RAPID_PLASMA_REAGIN ANTI_NEUTROPHIL_CYTOPLASMIC_ANTIBODY)	(complete blood count (CBC) blood culture urine culture urinalysis (UA) liver (function) tests (LFT, liver panel, hepatic function panel) thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum rheumatoid factor (RF) erythrocyte sedimentation rate (ESR) C-reactive protein (CRP) in serum serum protein electrophoresis (SPE) heterophile antibody screem (Monospot) cytomegalovirus (CMV) antibody in serum/CSF/body fluid serology rapid plasma reagin (RPR) anti-neutrophil cytoplasmic antibody (ANCA))
DRUG_INDUCED_FEVER	drug-induced fever	(COMPLETE_BLOOD_COUNT LIVER_FUNCTION_TEST ALANINE_AMINOTRANSFERASE_IN_SERUM ASPARTATE_AMINOTRANSFERASE_IN_SERUM)	(complete blood count (CBC) liver (function) tests (LFT, liver panel, hepatic function panel) alanine aminotransferase (ALT) in serum (SGPT) aspartate aminotransferase (AST) in serum (SGOT))
DISTRIBUTIVE_SHOCK	distributive shock (multiple organ dysfunction syndrome)	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR DIC_PANEL D_DIMER_IN_PLASMA PT/PTT PARTIAL_THROMBOPLASTIN_TIME ARTERIAL_BLOOD_GAS CHEMISTRY_7_PANEL COSYNTROPIN_STIMULATION_TEST CORTISOL_IN_SERUM)	(complete blood count (CBC) peripheral blood smear DIC panel D-dimer in plasma (SimpliRED) PT/PTT partial thromboplastin time (PTT) arterial blood gas (ABG) chemistry 7 panel (Chem-7 SMA7) cosyntropin (ACTH, Cortrosyn) stimulation test (delta cortisol test) cortisol in serum)
URGE_INCONTINENCE	urge incontinence	(URINALYSIS CHEMISTRY_8_PANEL)	(urinalysis (UA) chemistry 8 panel (basic metabolic panel, BMP, basic chemistry panel))
OVERFLOW_INCONTINENCE	overflow incontinence	(URINALYSIS)	(urinalysis (UA))
ABNORMAL_GLUCAGON_SECRETION	abnormal glucagon secretion	(GLUCAGON_IN_BODY_FLUID)	(glucagon in body fluid)
ABNORMAL_GASTRIN_SECRETION	abnormal gastrin secretion	(GASTRIN_IN_SERUM)	(gastrin in serum)
PICKWICKIAN_SYNDROME	Pickwickian syndrome	(COMPLETE_BLOOD_COUNT ARTERIAL_BLOOD_GAS)	(complete blood count (CBC) arterial blood gas (ABG))
DIABETIC_FOOT_ULCER	diabetic foot ulcer; diabetic foot lesion; diabetic lower extremity lesion	(GLUCOSE_IN_SERUM/PLASMA)	(glucose in serum/plasma)
AUTOSOMAL_DOMINANT_DISTAL_RENAL_TUBULAR_ACIDOSIS	autosomal dominant distal renal tubular acidosis	(CHEMISTRY_PANEL ARTERIAL_BLOOD_GAS)	(chemistry panel arterial blood gas (ABG))
RENAL_TUBULAR_ACIDOSIS_TYPE_I	renal tubular acidosis (RTA) type I (hyperchloremic acidosis)	(ANION_GAP PH_IN_URINE NEGATIVE_LOG_H+_CONCENTRATION ALDOSTERONE_IN_SERUM 24_HOUR_URINE_CITRATE)	(anion gap pH in urine - logarithm[10] H+ concentration (pH) aldosterone in serum/plasma 24 hour urine citrate)
RENAL_TUBULAR_ACIDOSIS_TYPE_II	renal tubular acidosis (RTA) type II	(PH_IN_URINE ANION_GAP ALDOSTERONE_IN_SERUM 24_HOUR_URINE_CITRATE)	(pH in urine anion gap aldosterone in serum/plasma 24 hour urine citrate)
RENAL_TUBULAR_ACIDOSIS_TYPE_IV	renal tubular acidosis (RTA) type IV	(PH_IN_URINE ALDOSTERONE_IN_SERUM 24_HOUR_URINE_CITRATE UREA_NITROGEN_IN_BLOOD)	(pH in urine aldosterone in serum/plasma 24 hour urine citrate urea nitrogen in blood; blood urea nitrogen (BUN))
CONGENITAL_INFANTILE_LACTIC_ACIDOSIS	congenital infantile lactic acidosis	(AMMONIA_IN_BLOOD LACTATE_IN_BLOOD)	(ammonia in blood lactate in blood)
TICK_BORNE_RELAPSING_FEVER	tick-bourne relapsing fever	(PERIPHERAL_BLOOD_SMEAR MICROSCOPY BORRELIA_HERMSII_ANTIBODY_IN_SERUM BORRELIA_HERMSII_CULTURE)	(peripheral blood smear microscopy Borrelia hermsii antibody in serum Borrelia hermsii culture)
MOBITZ_TYPE_2_SECOND_DEGREE_ATRIOVENTRICULAR_BLOCK	Mobitz type 2 second-degree atrioventricular (AV) block	(MAGNESIUM_IN_SERUM CALCIUM_IN_SERUM/PLASMA CHEMISTRY_7_PANEL DIGOXIN_IN_SERUM/PLASMA HIV1_SEROLOGY POLYMERASE_CHAIN_REACTION)	(magnesium (Mg+2) in serum calcium (Ca+2) in serum/plasma/blood chemistry 7 panel (Chem-7 SMA7) digoxin in serum/plasma HIV1 serology; HIV1 antibody (HIV1 EIA/ELISA, immunoblot) polymerase chain reaction (PCR))
DISTAL_RENAL_TUBULAR_ACIDOSIS_WITH_DEAFNESS	distal renal tubular acidosis with deafness	(POTASSIUM_IN_SERUM CALCIUM_IN_URINE)	(potassium (K+) in serum/plasma calcium in urine)
ELEVATED_SERUM_TRANSAMINASES	elevated serum transaminases; transaminitis; abnormal liver function tests	(ASPARTATE_AMINOTRANSFERASE_IN_SERUM ALANINE_AMINOTRANSFERASE_IN_SERUM ALKALINE_PHOSPHATASE_IN_SERUM BILIRUBIN_TOTAL_IN_SERUM HEPATITIS_B_SEROLOGY HEPATITIS_C_SEROLOGY FERRITIN_IN_SERUM/PLASMA IRON_STUDIES IRON_IN_SERUM IRON_BINDING_CAPACITY_IN_SERUM NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM)	(aspartate aminotransferase (AST) in serum (SGOT) alanine aminotransferase (ALT) in serum (SGPT) alkaline phosphatase (ALP) in serum bilirubin (total) in serum (TBIL) hepatitis B virus (HBV) serology hepatitis C virus (HCV) serology ferritin in serum/plasma iron studies iron (Fe+2/Fe+3) in serum iron-binding capacity in serum (TIBC) nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum)
LYMPHADENOPATHY	lymphadenopathy	(CULTURE COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR ERYTHROCYTE_SEDIMENTATION_RATE C_REACTIVE_PROTEIN_IN_SERUM SEROLOGY SERUM_PROTEIN_ELECTROPHORESIS HETEROPHILE_ANTIBODY)	(culture complete blood count (CBC) peripheral blood smear erythrocyte sedimentation rate (ESR) C-reactive protein (CRP) in serum serology serum protein electrophoresis (SPE) heterophile antibody)
PULMONARY_HYPERTENSION	pulmonary hypertension	(NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM B_TYPE_NATRIURETIC_PEPTIDE_PROHORMONE_IN_SERUM/PLASMA)	(nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum B-type natriuretic peptide prohormone in serum/plasma)
PORTOPULMONARY_HYPERTENSION	portopulmonary hypertension	(ARTERIAL_BLOOD_GAS)	(arterial blood gas (ABG))
THROMBOCYTOPENIA	thrombocytopenia	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR PLATELET_COUNT PARTIAL_THROMBOPLASTIN_TIME PROTHROMBIN_TIME LIVER_FUNCTION_TEST THYROID_FUNCTION_TEST CHEMISTRY_8_PANEL VITAMIN_B12_IN_SERUM/PLASMA FOLATE_IN_SERUM/PLASMA BONE_MARROW_BIOPSY)	(complete blood count (CBC) peripheral blood smear platelet count partial thromboplastin time (PTT) prothrombin time (PT) liver (function) tests (LFT, liver panel, hepatic function panel) thyroid function test chemistry 8 panel (basic metabolic panel, BMP, basic chemistry panel) vitamin B12 in serum/plasma folate in serum/plasma bone marrow biopsy)
THROMBOCYTOPENIA_OF_PREGNANCY	thrombocytopenia of pregnancy (gestational thrombocytopenia)	(COMPLETE_BLOOD_COUNT PLATELET_COUNT)	(complete blood count (CBC) platelet count)
X_LINKED_DYSERYTHROPOIETIC_ANEMIA_&_THROMBOCYTOPENIA	X-linked dyserythropoietic anemia & thrombocytopenia	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR BONE_MARROW_BIOPSY)	(complete blood count (CBC) peripheral blood smear bone marrow biopsy)
HEPARIN_INDUCED_THROMBOCYTOPENIA	heparin-induced thrombocytopenia; heparin-associated antibody syndrome (HIT)	(COMPLETE_BLOOD_COUNT PLATELET_COUNT PLATELET_FACTOR_4_IN_PLASMA HEPARIN_ASSOCIATED_PLATELET_ANTIBODY HEPARIN_PLATELET_FACTOR_4_ANTIBODY PLATELET_ANTIBODY_IN_SERUM/PLASMA)	(complete blood count (CBC) platelet count platelet factor 4 in plasma heparin-associated platelet antibody heparin-platelet factor 4 antibody platelet antibody in serum)
HEMOLYSIS	hemolysis	(PERIPHERAL_BLOOD_SMEAR RETICULOCYTE_COUNT BONE_MARROW_BIOPSY FREE_HEMOGLOBIN_IN_SERUM/PLASMA URINE_CHEMISTRY_TEST)	(peripheral blood smear reticulocyte count bone marrow biopsy free hemoglobin in serum/plasma urine chemistry test)
PANCYTOPENIA	pancytopenia	(COMPLETE_BLOOD_COUNT RETICULOCYTE_COUNT FOLATE_IN_SERUM/PLASMA VITAMIN_B12_IN_SERUM/PLASMA FERRITIN_IN_SERUM/PLASMA IRON_IN_SERUM IRON_BINDING_CAPACITY_IN_SERUM URINE_PROTEIN_ELECTROPHORESIS SERUM_PROTEIN_ELECTROPHORESIS BONE_MARROW_BIOPSY)	(complete blood count (CBC) reticulocyte count folate in serum/plasma vitamin B12 in serum/plasma ferritin in serum/plasma iron (Fe+2/Fe+3) in serum iron-binding capacity in serum (TIBC) urine protein electrophoresis serum protein electrophoresis (SPE) bone marrow biopsy)
HYPERAMMONEMIA	hyperammonemia	(ARTERIAL_BLOOD_GAS LACTATE_IN_SERUM/PLASMA GLUCOSE_IN_SERUM/PLASMA ANION_GAP ELECTROLYTE_PANEL 24_HOUR_URINE_OROTATE)	(arterial blood gas (ABG) lactate in serum/plasma glucose in serum/plasma anion gap electrolyte panel 24 hour urine orotate)
ARCUS_SENILIS	arcus senilis	(LIPID_PANEL)	(lipid panel (fasting lipid panel, FLP))
EDEMA	edema (swelling)	(ELECTROLYTES_IN_SERUM LIVER_FUNCTION_TEST RENAL_FUNCTION_TEST THYROID_FUNCTION_TEST THYROID_STIMULATING_HORMONE_IN_SERUM T3_TOTAL_IN_SERUM FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_IMMUNOGLOBULIN URINALYSIS)	(electrolytes in serum liver (function) tests (LFT, liver panel, hepatic function panel) renal function tests; renal function panel thyroid function test thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum T3 total in serum/plasma thyroxine [T4] (free) in serum thyroid-stimulating immunoglobulin (TSI) urinalysis (UA))
ANGIONEUROTIC_EDEMA	angioneurotic edema; angioedema; atrophedema; Bannister's disease; Milton's disease; Quincke's disease; periodic or Quincke's edema; giant urticaria or hives; urticaria gigans, gigantea, or tuberosa.	(C1_ESTERASE_INHIBITOR_ASSAY COMPLEMENT_C1S_IN_SERUM/PLASMA COMPLEMENT_C4_IN_SERUM COMPLEMENT_C2_IN_SERUM COMPLETE_BLOOD_COUNT ERYTHROCYTE_SEDIMENTATION_RATE URINALYSIS LIVER_FUNCTION_TEST HEPATITIS_PROFILE RHEUMATOID_FACTOR ANTI_SSA_IN_BODY_FLUID ANTI_SSB_IN_BODY_FLUID CH50_ASSAY)	(C1-esterase inhibitor assay complement C1s (C1-esterase) in serum/plasma complement C4 in serum complement C2 in serum complete blood count (CBC) erythrocyte sedimentation rate (ESR) urinalysis (UA) liver (function) tests (LFT, liver panel, hepatic function panel) hepatitis profile (serology) rheumatoid factor (RF) anti-SSA/Ro in body fluid anti-SSB/La in body fluid CH50 Assay (serum))
LOWER_EXTREMITY_EDEMA	lower extremity edema	(URINALYSIS CREATININE_IN_SERUM/PLASMA ALBUMIN_IN_SERUM POTASSIUM_IN_SERUM SODIUM_IN_SERUM THYROID_FUNCTION_TEST)	(urinalysis (UA) creatinine in serum/plasma albumin in serum potassium (K+) in serum/plasma sodium (Na+) in serum thyroid function test)
HEREDITARY_ANGIOEDEMA	hereditary angioedema; hereditary angioneurotic edema (HANE)	(C1_ESTERASE_INHIBITOR_ASSAY)	(C1-esterase inhibitor assay)
CARDIOGENIC_PULMONARY_EDEMA	cardiogenic pulmonary edema (CPE)	(B_TYPE_NATRIURETIC_PEPTIDE_IN_SERUM/PLASMA)	(B-type natriuretic peptide (BNP & N-terminal pro-BNP) in serum/plasma)
ENDOMETRIOSIS	endometriosis	(URINE_PREGNANCY_TEST)	(urine pregnancy test (choriogonadotropin [Presence] in urine))
HYPOCALCEMIA	hypocalcemia	(CALCIUM_IN_SERUM/PLASMA ALBUMIN_IN_SERUM IONIZED_CA+2_IN_SERUM/PLASMA/BLOOD MAGNESIUM_IN_SERUM CREATININE_IN_SERUM/PLASMA PARATHYROID_HORMONE_INTACT_IN_SERUM 1_25_DIHYDROXYVITAMIN_D_IN_SERUM/PLASMA 25_HYDROXYVITAMIN_D3_IN_SERUM PHOSPHORUS_IN_SERUM)	(calcium (Ca+2) in serum/plasma/blood albumin in serum ionized Ca+2 in serum/plasma/blood magnesium (Mg+2) in serum creatinine in serum/plasma parathyroid hormone in serum/plasma 1,25-dihydroxyvitamin D in serum 25-hydroxyvitamin D3 (calcifediol) in serum phosphorus (inorganic phosphate) in serum)
HUNGRY_BONE_SYNDROME	hungry bone syndrome	(PARATHYROID_HORMONE_INTACT_IN_SERUM CALCIUM_IN_SERUM/PLASMA PHOSPHORUS_IN_SERUM MAGNESIUM_IN_SERUM POTASSIUM_IN_SERUM)	(parathyroid hormone in serum/plasma calcium (Ca+2) in serum/plasma/blood phosphorus (inorganic phosphate) in serum magnesium (Mg+2) in serum potassium (K+) in serum/plasma)
HYPERCALCEMIA	hypercalcemia	(24_HOUR_URINE_CALCIUM IONIZED_CA+2_IN_SERUM/PLASMA CALCIUM_IN_SERUM/PLASMA PHOSPHORUS_IN_SERUM CHLORIDE_IN_SERUM ALBUMIN_IN_SERUM PARATHYROID_HORMONE_INTACT_IN_SERUM CALCIUM_IN_URINE)	(24 hour urine calcium (Ca+2) ionized Ca+2 in serum/plasma calcium (Ca+2) in serum/plasma/blood phosphorus (inorganic phosphate) in serum chloride (Cl-) in serum albumin in serum parathyroid hormone in serum/plasma calcium in urine)
HYPERCALCEMIA_OF_MALIGNANCY	hypercalcemia of malignancy	(CALCIUM_IN_SERUM/PLASMA CALCIUM_IN_URINE PARATHYROID_HORMONE_INTACT_IN_SERUM PARATHYROID_HORMONE_RELATED_PEPTIDE_IN_PLASMA 1_25_DIHYDROXYVITAMIN_D3_IN_SERUM PHOSPHORUS_IN_SERUM SODIUM_IN_SERUM)	(calcium (Ca+2) in serum/plasma/blood calcium in urine parathyroid hormone in serum/plasma parathyroid hormone related peptide in plasma 1,25-dihydroxyvitamin D3 in serum (serum calcitriol) phosphorus (inorganic phosphate) in serum sodium (Na+) in serum)
HYPERPARATHYROIDISM	hyperparathyroidism	(CALCIUM_IN_SERUM/PLASMA IONIZED_CA+2_IN_SERUM/PLASMA PARATHYROID_HORMONE_INTACT_IN_SERUM PHOSPHORUS_IN_SERUM CHLORIDE_IN_SERUM ANION_GAP 24_HOUR_URINE_CALCIUM URINALYSIS CALCIUM_IN_URINE 25_HYDROXYVITAMIN_D3_IN_SERUM)	(calcium (Ca+2) in serum/plasma/blood ionized Ca+2 in serum/plasma parathyroid hormone in serum/plasma phosphorus (inorganic phosphate) in serum chloride (Cl-) in serum anion gap 24 hour urine calcium (Ca+2) urinalysis (UA) calcium in urine 25-hydroxyvitamin D3 (calcifediol) in serum)
MULTINODULAR_GOITER	multinodular goiter	(FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM)	(thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
DIFFUSE_GOITER	diffuse goiter; simple goiter; colloid goiter	(THYROXINE_IN_SERUM FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM)	(thyroxine [T4] (total) in serum thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
ENDEMIC_GOITER	endemic goiter	(T3_TOTAL_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM)	(T3 total in serum/plasma thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
HYPOTHYROIDISM	hypothyroidism	(FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM THYROXINE_IN_SERUM T3_TOTAL_IN_SERUM FREE_T3_IN_SERUM SODIUM_IN_SERUM LIPID_PANEL CHOLESTEROL_LDL_IN_SERUM CREATINE_KINASE_IN_SERUM HOMOCYSTEINE_IN_SERUM/PLASMA ANTI_THYROID_PEROXIDASE_ANTIBODY ACTH_IN_PLASMA CORTISOL_IN_SERUM COMPLETE_BLOOD_COUNT MEAN_CORPUSCULAR_VOLUME PROLACTIN_IN_SERUM)	(thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum thyroxine [T4] (total) in serum T3 total in serum/plasma triiodothyronine [T3] (free) in serum sodium (Na+) in serum lipid panel (fasting lipid panel, FLP) cholesterol LDL in serum creatine kinase (CK) in serum homocysteine in serum/plasma anti-thyroid peroxidase (microsomal) antibody ACTH (corticotropin) in plasma cortisol in serum complete blood count (CBC) mean corpuscular volume (MCV) prolactin in serum)
HYPOTHYROIDISM_DURING_PREGNANCY	hypothyroidism during pregnancy	(THYROID_STIMULATING_HORMONE_IN_SERUM)	(thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
SUBCLINICAL_HYPOTHYROIDISM	subclinical hypothyroidism	(T3_TOTAL_IN_SERUM THYROXINE_IN_SERUM FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM ANTI_THYROID_PEROXIDASE_ANTIBODY CHOLESTEROL_LDL_IN_SERUM LIPID_PANEL)	(T3 total in serum/plasma thyroxine [T4] (total) in serum thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum anti-thyroid peroxidase (microsomal) antibody cholesterol LDL in serum lipid panel (fasting lipid panel, FLP))
MYXEDEMA	myxedema	(THYROID_FUNCTION_TEST THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM)	(thyroid function test thyroxine [T4] (total) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
CONGENITAL_HYPOTHYROIDISM_NON_GOITROUS_TYPE_1	congenital hypothyroidism non-goitrous type 1 (CHNG1); congenital hypothyroidism due to TSH resistance	(THYROID_STIMULATING_HORMONE_IN_SERUM THYROXINE_IN_SERUM)	(thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum thyroxine [T4] (total) in serum)
MYXEDEMA_COMA	myxedema coma; hypothyroid coma	(THYROID_STIMULATING_HORMONE_IN_SERUM THYROXINE_IN_SERUM FREE_THYROXINE_IN_SERUM GLUCOSE_IN_SERUM/PLASMA)	(thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum thyroxine [T4] (total) in serum thyroxine [T4] (free) in serum glucose in serum/plasma)
THYROTOXICOSIS	thyrotoxicosis	(FREE_THYROXINE_IN_SERUM FREE_T3_IN_SERUM)	(thyroxine [T4] (free) in serum triiodothyronine [T3] (free) in serum)
T3_THYROTOXICOSIS	T3 thyrotoxicosis	(FREE_T3_IN_SERUM FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM)	(triiodothyronine [T3] (free) in serum thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
THYROID_STORM	thyroid storm	(FREE_THYROXINE_IN_SERUM FREE_T3_IN_SERUM LIVER_FUNCTION_TEST)	(thyroxine [T4] (free) in serum triiodothyronine [T3] (free) in serum liver (function) tests (LFT, liver panel, hepatic function panel))
ACANTHOCYTOSIS	acanthocytosis	(PERIPHERAL_BLOOD_SMEAR)	(peripheral blood smear)
HYPERGLYCEMIA	hyperglycemia	(GLUCOSE_IN_SERUM/PLASMA GLUCOSE_IN_URINE HEMOGLOBIN_A1C_IN_RED_BLOOD_CELLS MICROALBUMIN_IN_URINE LIPID_PANEL)	(glucose in serum/plasma glucose in urine hemoglobin A1c in red blood cells (Tina-quant HbA1cDx) microalbumin in urine lipid panel (fasting lipid panel, FLP))
HYPERGLYCEMIC_HYPEROSMOLAR_NONKETOTIC_COMA	hyperglycemic-hyperosmolar syndrome; hyperglycemic-hyperosmolar nonketotic coma (HHNC)	(CHEMISTRY_14_PANEL ANION_GAP CREATININE_IN_SERUM/PLASMA UREA_NITROGEN_IN_BLOOD GLUCOSE_IN_SERUM/PLASMA KETONE_BODIES_IN_SERUM/PLASMA CLINICAL_COAGULATION_TEST BLOOD_CULTURE ARTERIAL_BLOOD_GAS NEGATIVE_LOG_H+_CONCENTRATION CSF_CELL_COUNT CULTURE HEMOGLOBIN_A1C_IN_RED_BLOOD_CELLS)	(chemistry 14 panel (comprehensive metabolic panel, CMP, chem 12, SMA12, SMA20) anion gap creatinine in serum/plasma urea nitrogen in blood; blood urea nitrogen (BUN) glucose in serum/plasma ketone bodies in serum/plasma clinical coagulation test blood culture arterial blood gas (ABG) - logarithm[10] H+ concentration (pH) CSF cell count culture hemoglobin A1c in red blood cells (Tina-quant HbA1cDx))
