disease	name	symptoms	symptomNames
FAMILIAL_HYPOMAGNESEMIA_TYPE_4	familial hypomagnesemia type 4; renal hypomagnesemia normocalciuric	(DEEP_TENDON_REFLEX SEIZURE)	(deep tendon reflex (DTR) seizure; epileptic seizure)
HYPOMAGNESEMIA_WITH_SECONDARY_HYPOCALCEMIA	hypomagnesemia type 1; hypomagnesemia with secondary hypocalcemia (HSH)	(SEIZURE MUSCLE_SPASM HYPOCALCEMIA)	(seizure; epileptic seizure muscle spasm hypocalcemia)
HYPOCALCEMIA	hypocalcemia	(CATARACTS HYPOCALCEMIA BRADYARRHYTHMIA HYPOTENSION PROLONGED_QT_INTERVAL VOMITING IRRITABILITY CONFUSION ANXIETY DEPRESSION TREMOR TETANY CARPOPEDAL_SPASM MUSCLE_CRAMP NUMBNESS PARESTHESIA CHVOSTEK^S_SIGN TROUSSEAU^S_SIGN)	(cataracts hypocalcemia bradyarrhythmia (bradycardia) hypotension prolonged QT interval vomiting irritability (impatience, hyperexcitability) confusion anxiety depression tremor tetany carpopedal spasm muscle cramp numbness paresthesia Chvostek's sign Trousseau's sign)
HYPOPARATHYROIDISM	hypoparathyroidism	(PARESTHESIA MUSCLE_CRAMP HYPOCALCEMIA SIGN/SYMPTOM)	(paresthesia muscle cramp hypocalcemia sign/symptom)
AUTOSOMAL_DOMINANT_HYPOPARATHYROIDISM	autosomal dominant hypoparathyroidism; familial isolated hypoparathyroidism; autosomal dominant hypocalcemia	(CRAMP TETANY SEIZURE)	(cramp tetany seizure; epileptic seizure)
HYPERCALCEMIA	hypercalcemia	(SIGN/SYMPTOM HYPERTENSION FATIGUE CONFUSION MUSCLE_WEAKNESS NAUSEA VOMITING ANOREXIA CONSTIPATION ABDOMINAL_PAIN POLYURIA POLYDIPSIA HYPERCALCEMIA PRIMARY_HYPERPARATHYROIDISM)	(sign/symptom hypertension (HTN, high blood pressure, HBP) fatigue; lassitude; tiredness confusion muscle weakness nausea vomiting anorexia constipation abdominal pain polyuria polydipsia hypercalcemia primary hyperparathyroidism)
HYPERCALCEMIA_OF_MALIGNANCY	hypercalcemia of malignancy	(HYPERTENSION APATHY SOMNOLENCE POLYURIA POLYDIPSIA NAUSEA VOMITING CONSTIPATION HYPERCALCEMIA HYPOVOLEMIA)	(hypertension (HTN, high blood pressure, HBP) apathy (indifference) somnolence (sleepiness) polyuria polydipsia nausea vomiting constipation hypercalcemia hypovolemia (extracellular volume depletion))
OBESITY	obesity	(HYPOTHYROIDISM HYPERTENSION LOWER_EXTREMITY_EDEMA OBESITY ARTHRALGIA WEAKNESS SOMNOLENCE FATIGUE DYSPNEA)	(hypothyroidism hypertension (HTN, high blood pressure, HBP) lower extremity edema obesity arthralgia weakness somnolence (sleepiness) fatigue; lassitude; tiredness dyspnea (shortness of breath {SOB}))
AMYLOIDOSIS	amyloidosis	(MYALGIA ARTHRALGIA EDEMA PURPURA PETECHIAE SPLENOMEGALY HEPATOMEGALY LYMPHADENOPATHY HYPERTENSION PARESTHESIA WEIGHT_LOSS ASTHENIA)	(myalgia (muscle pain) arthralgia edema (swelling) purpura petechia splenomegaly hepatomegaly lymphadenopathy hypertension (HTN, high blood pressure, HBP) paresthesia weight loss asthenia)
AMYLOIDOSIS_TRANSTHYRETIN_RELATED	amyloidosis transthyretin-related; oculoleptomeningeal amyloidosis	(VISUAL_IMPAIRMENT DEMENTIA SEIZURE)	(visual impairment dementia seizure; epileptic seizure)
AMYLOID_POLYNEUROPATHY_NEPHROPATHY_IOWA_TYPE	amyloid polyneuropathy-nephropathy Iowa type; amyloidosis van Allen type; familial amyloid polyneuropathy type III (AMYLIOWA)	(CATARACTS HEARING_LOSS PEPTIC_ULCER)	(cataracts hearing loss (hearing impairment, hard of hearing, HOH) peptic ulcer disease (PUD))
AMYLOIDOSIS_TYPE_8	amyloidosis type 8 (AMYL8); systemic non-neuropathic amyloidosis; Ostertag-type amyloidosis	(PETECHIAE RASH CHOLESTASIS HEPATOSPLENOMEGALY HYPERTENSION)	(petechia rash cholestasis hepatosplenomegaly hypertension (HTN, high blood pressure, HBP))
AL_AMYLOIDOSIS	AL amyloidosis	(MALABSORPTION HEPATOMEGALY ORTHOSTATIC_HYPOTENSION)	(malabsorption hepatomegaly orthostatic hypotension (postural tachycardia syndrome, POTS, Bradbury-Eggleston Syndrome))
AA_AMYLOIDOSIS	AA amyloidosis	(HEPATOSPLENOMEGALY MALABSORPTION ABDOMINAL_PAIN GASTROINTESTINAL_HEMORRHAGE CHRONIC_DIARRHEA)	(hepatosplenomegaly malabsorption abdominal pain gastrointestinal hemorrhage chronic diarrhea)
LICHENOID_AMYLOIDOSIS	lichenoid amyloidosis	(PRURITIS)	(pruritis (itching))
NODULAR_AMYLOIDOSIS	nodular amyloidosis	(PURPURA)	(purpura)
MACULAR_AMYLOIDOSIS	macular amyloidosis	(PRURITIS)	(pruritis (itching))
FRAGILE_X_SYNDROME	fragile X syndrome	(MACROORCHIDISM MENTAL_RETARDATION)	(macroorchidism mental retardation; developmental intellectual disorder)
FRAGILE_X_TREMOR/ATAXIA_SYNDROME	fragile X tremor/ataxia syndrome (FXTAS)	(DEMENTIA TREMOR ATAXIA)	(dementia tremor ataxia)
HYDROXYKYNURENINURIA	hydroxykynureninuria; xanthurenic aciduria; kynureninase deficiency	(STOMATITIS PHOTOPHOBIA PHOTOSENSITIVITY MENTAL_RETARDATION SPLENOMEGALY HEPATOMEGALY DEAFNESS MIGRAINE_HEADACHE HEADACHE DIARRHEA)	(stomatitis photophobia photosensitivity mental retardation; developmental intellectual disorder splenomegaly hepatomegaly deafness migraine headache headache diarrhea)
DISACCHARIDASE_DEFICIENCY	disaccharidase deficiency	(BORBORYGMUS DIARRHEA)	(borborygmus (stomach rumble) diarrhea)
ADIPONECTIN_DEFICIENCY	adiponectin deficiency	(OBESITY)	(obesity)
ENTEROKINASE_DEFICIENCY	enterokinase deficiency; enteropeptidase deficiency	(FAILURE_TO_THRIVE DIARRHEA)	(failure to thrive diarrhea)
QUEBEC_PLATELET_DISORDER	Quebec platelet disorder	(HEMORRHAGE)	(hemorrhage (bleeding))
PLASMINOGEN_DEFICIENCY	plasminogen deficiency	(CONJUNCTIVITIS)	(conjunctivitis)
GLUTATHIONE_REDUCTASE_DEFICIENCY	glutathione reductase deficiency	(CATARACTS HEMOLYTIC_ANEMIA NEONATAL_JAUNDICE)	(cataracts hemolytic anemia neonatal jaundice)
ISOVALERIC_ACIDEMIA	isovaleric acidemia; isovaleryl-CoA dehydrogenase deficiency	(METABOLIC_ACIDOSIS ACIDOSIS VOMITING)	(metabolic acidosis acidosis vomiting)
PROPIONIC_ACIDEMIA	propionic acidemia	(VOMITING)	(vomiting)
CASPASE_8_DEFICIENCY	caspase-8 deficiency	(SPLENOMEGALY LYMPHADENOPATHY)	(splenomegaly lymphadenopathy)
PYRUVATE_DECARBOXYLASE_E1_COMPONENT_DEFICIENCY	pyruvate decarboxylase E1 component deficiency (PDHE1 deficiency)	(APNEA ATAXIA SEIZURE)	(apnea ataxia seizure; epileptic seizure)
NADH_DEHYDROGENASE_DEFICIENCY	NADH dehydrogenase deficiency (complex 1 mitochondrial respiratory chain deficiency)	(MACROCEPHALY)	(macrocephaly)
GALACTOSIALIDOSIS	galactosialidosis (Goldberg syndrome)	(HEARING_LOSS DYSOSTOSIS MACULAR_CHERRY_RED_SPOT SEIZURE MENTAL_RETARDATION)	(hearing loss (hearing impairment, hard of hearing, HOH) dysostosis (dysosteogenesis) macular cherry red spot seizure; epileptic seizure mental retardation; developmental intellectual disorder)
PROLIDASE_DEFICIENCY	prolidase deficiency	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
AMP_DEAMINASE_DEFICIENCY	AMP deaminase deficiency	(CRAMP FATIGUE)	(cramp fatigue; lassitude; tiredness)
N_ACETYLGLUTAMATE_SYNTHASE_DEFICIENCY	N-acetylglutamate synthase deficiency	(FEVER FAILURE_TO_THRIVE VISUAL_IMPAIRMENT TACHYPNEA SOMNOLENCE)	(fever failure to thrive visual impairment tachypnea somnolence (sleepiness))
CYTOCHROME_C_OXIDASE_DEFICIENCY	cytochrome C oxidase deficiency; mitochondrial complex IV deficiency; COX deficiency	(MENTAL_RETARDATION MUSCLE_WEAKNESS HYPOTONIA HEPATOMEGALY)	(mental retardation; developmental intellectual disorder muscle weakness hypotonia hepatomegaly)
MYOPATHY_WITH_LACTIC_ACIDOSIS_&_SIDEROBLASTIC_ANEMIA	myopathy with lactic acidosis & sideroblastic anemia; mitochondrial myopathy & sideroblastic anemia (MLASA)	(MUSCLE_WEAKNESS)	(muscle weakness)
D_BIFUNCTIONAL_PROTEIN_DEFICIENCY	D-bifunctional protein deficiency (DBPD)	(ENTEROCOLITIS SEIZURE HYPOTONIA MACROCEPHALY)	(enterocolitis seizure; epileptic seizure hypotonia macrocephaly)
VERY_LONG_CHAIN_SPECIFIC_ACYL_COA_DEHYDROGENASE_DEFICIENCY	very long chain acyl-CoA dehydrogenase deficiency (VLCAD deficiency)	(MYOGLOBINURIA HYPOGLYCEMIA)	(myoglobinuria hypoglycemia)
DIMETHYLGLYCINE_DEHYDROGENASE_DEFICIENCY	dimethylglycine dehydrogenase deficiency (DMGDH deficiency, DMGDHD)	(FATIGUE)	(fatigue; lassitude; tiredness)
TRIFUNCTIONAL_PROTEIN_DEFICIENCY	trifunctional protein deficiency (TFP deficiency)	(HYPOGLYCEMIA)	(hypoglycemia)
DIHYDROPYRIMIDINE_DEHYDROGENASE_DEFICIENCY	dihydropyrimidine dehydrogenase deficiency; hereditary thymine-uraciluria; familial pyrimidinemia	(FEVER DIARRHEA STOMATITIS THROMBOCYTOPENIA ALOPECIA WEIGHT_LOSS CEREBELLAR_ATAXIA)	(fever diarrhea stomatitis thrombocytopenia alopecia (hair loss, balding) weight loss cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria))
PROTEIN_C_DEFICIENCY	protein C deficiency	(THROMBOSIS MENINGOCOCCEMIA THROMBOPHLEBITIS PULMONARY_EMBOLISM DEEP_VEIN_THROMBOSIS)	(thrombosis meningiococcemia (purpura fulminans) thrombophlebitis (includes superficial venous thrombosis) pulmonary embolism (PE) deep vein thrombosis (DVT))
METHYLCOBALAMIN_DEFICIENCY_TYPE_G	methylcobalamin deficiency type G; homocystinuria-megaloblastic anemia complementation type G	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
LYSOSOMAL_BETA_MANNOSIDOSIS	lysosomal beta-mannosidosis	(EPILEPSY HYPOTONIA HEARING_LOSS SPEECH_IMPAIRMENT MENTAL_RETARDATION)	(epilepsy hypotonia hearing loss (hearing impairment, hard of hearing, HOH) speech impairment mental retardation; developmental intellectual disorder)
LYSOSOMAL_ALPHA_MANNOSIDOSIS	lysosomal alpha-mannosidosis	(HEARING_LOSS MENTAL_RETARDATION)	(hearing loss (hearing impairment, hard of hearing, HOH) mental retardation; developmental intellectual disorder)
SIALURIA	sialuria; sialic acid storage disorder; N-acetylneuraminic acid storage disease; Salla disease	(HYDROPS_FETALIS MENTAL_RETARDATION CEREBELLAR_ATAXIA HYPOTONIA HEPATOMEGALY)	(hydrops fetalis mental retardation; developmental intellectual disorder cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria) hypotonia hepatomegaly)
PHOSPHOSERINE_AMINOTRANSFERASE_DEFICIENCY	phosphoserine aminotransferase deficiency	(HYPERTONIA MICROCEPHALY SEIZURE)	(hypertonia microcephaly seizure; epileptic seizure)
ISOBUTYRYL_COA_DEHYDROGENASE_DEFICIENCY	isobutyryl-CoA dehydrogenase deficiency	(SEIZURE)	(seizure; epileptic seizure)
CPS1_DEFICIENCY	CPS1 deficiency	(MENTAL_RETARDATION SEIZURE ATAXIA VOMITING)	(mental retardation; developmental intellectual disorder seizure; epileptic seizure ataxia vomiting)
ARGININEMIA	argininemia	(SPASTICITY QUADRIPLEGIA)	(spasticity quadriplegia)
ALPHA_METHYLACETOACETICACIDURIA	alpha-methylacetoaceticaciduria; 3-ketoacyl CoA thiolase deficiency	(KETOACIDOSIS)	(ketoacidosis)
METHACRYLIC_ACIDURIA	methacrylic aciduria; beta-hydroxyisobutyryl CoA deacylase (HIBCH) deficiency	(HYPOTONIA)	(hypotonia)
BETA_UREIDOPROPIONASE_DEFICIENCY	beta-ureidopropionase deficiency	(MICROCEPHALY DYSTONIA HYPOTONIA)	(microcephaly dystonia hypotonia)
L_2_HYDROXYGLUTARICACIDURIA	L-2-hydroxyglutaricaciduria	(MENTAL_RETARDATION DYSARTHRIA CEREBELLAR_ATAXIA)	(mental retardation; developmental intellectual disorder dysarthria cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria))
FORMIMINOGLUTAMICACIDURIA	formiminoglutamicaciduria; glutamate formiminotransferase deficiency	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
METHYLGLUTACONYL_COA_HYDRATASE_DEFICIENCY	methylglutaconyl-CoA hydratase deficiency; methylglutaconic aciduria	(DEMENTIA CHOREOATHETOSIS TROPICAL_SPASTIC_PARAPARESIS)	(dementia choreoathetosis tropical spastic paraparesis)
3_METHYLGLUTACONIC_ACIDURIA_TYPE_1	3-methylglutaconic aciduria type 1	(DYSTONIA METABOLIC_ACIDOSIS FAILURE_TO_THRIVE)	(dystonia metabolic acidosis failure to thrive)
3_METHYLGLUTACONIC_ACIDURIA_TYPE_5	3-methylglutaconic aciduria type 5; dilated cardiomyopathy with ataxia	(CEREBELLAR_ATAXIA GROWTH_RETARDATION)	(cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria) growth retardation)
GLYCINE_N_METHYLTRANSFERASE_DEFICIENCY	glycine N-methyltransferase deficiency (GNMT deficiency)	(HEPATOMEGALY)	(hepatomegaly)
TYROSINEMIA_TYPE_1	tyrosinemia type 1	(HEPATOSPLENOMEGALY)	(hepatosplenomegaly)
TYROSINEMIA_TYPE_2	tyrosinemia type 2 (Richner-Hanhart syndrome)	(MENTAL_RETARDATION CORNEAL_ULCER)	(mental retardation; developmental intellectual disorder corneal ulcer (ulcerative keratitis))
TYROSINEMIA_TYPE_3	tyrosinemia type 3	(MENTAL_RETARDATION DROWSINESS ATAXIA)	(mental retardation; developmental intellectual disorder drowsiness ataxia)
WISKOTT_ALDRICH_SYNDROME	Wiskott-Aldrich syndrome (eczema-thrombocytopenia-immunodeficiency syndrome)	(DIARRHEA)	(diarrhea)
X_LINKED_MENTAL_RETARDATION_94	mental retardation, X-linked 94	(ASTHENIA SEIZURE HYPOREFLEXIA MACROCEPHALY MUSCLE_WEAKNESS MENTAL_RETARDATION)	(asthenia seizure; epileptic seizure hyporeflexia macrocephaly muscle weakness mental retardation; developmental intellectual disorder)
X_LINKED_MENTAL_RETARDATION_59	mental retardation, X-linked 59	(HYPOTONIA MENTAL_RETARDATION)	(hypotonia mental retardation; developmental intellectual disorder)
X_LINKED_MENTAL_RETARDATION_41	mental retardation, X-linked 41 (mental retardation, X-linked 48)	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
CHOROIDEREMIA	choroideremia; progressive choroidal atrophy; progressive tapetochoroidal dystrophy	(BLINDNESS NIGHT_BLINDNESS)	(blindness night blindness (nyctalopia, nocturnal amblyopia, nyctanopia))
GLUCOSE_6_PHOSPHATE_DEHYDROGENASE_DEFICIENCY	glucose-6-phosphate dehydrogenase [G6PD] deficiency; chronic non-spherocytic hemolytic anemia (CNSHA)	(FEVER PALLOR FATIGUE JAUNDICE TACHYARRHYTHMIA BACK_PAIN OXIDATIVE_STRESS HEMOLYSIS HEMOLYTIC_ANEMIA)	(fever pallor fatigue; lassitude; tiredness jaundice (icterus) tachyarrhythmia (tachycardia) back pain oxidative stress hemolysis hemolytic anemia)
FAVISM	favism	(TACHYARRHYTHMIA PALLOR FATIGUE JAUNDICE BACK_PAIN FEVER)	(tachyarrhythmia (tachycardia) pallor fatigue; lassitude; tiredness jaundice (icterus) back pain fever)
MALIGNANT_HYPERTHERMIA	malignant hyperthermia/hyperthermia of anesthesia	(SIGN/SYMPTOM METABOLIC_ACIDOSIS MYOGLOBINURIA VENTRICULAR_TACHYCARDIA VENTRICULAR_FIBRILLATION HYPERKALEMIA HYPERTENSION TACHYPNEA TACHYARRHYTHMIA MUSCLE_RIGIDITY HYPERTHERMIA)	(sign/symptom metabolic acidosis myoglobinuria ventricular tachycardia (VT) ventricular fibrillation (V Fib) hyperkalemia hypertension (HTN, high blood pressure, HBP) tachypnea tachyarrhythmia (tachycardia) muscle rigidity hyperthermia (pyrexia))
PARAMYOTONIA_CONGENITA	paramyotonia congenita of von Eulenburg (PMC)	(MYOTONIA)	(myotonia)
BECKER_MUSCULAR_DYSTROPHY	Becker muscular dystrophy	(MUSCLE_WEAKNESS)	(muscle weakness)
DUCHENNE_MUSCULAR_DYSTROPHY	Duchenne muscular dystrophy (pseudohypertrophic)	(COGNITIVE_IMPAIRMENT FACIAL_WEAKNESS WEAKNESS)	(cognitive impairment facial weakness weakness)
MUSCULAR_DYSTROPHY_DYSTROGLYCANOPATHY_TYPE_A12	muscular dystrophy-dystroglycanopathy type A12 (MDDGA12)	(MUSCLE_EYE_BRAIN_DISEASE MENTAL_RETARDATION ANOMALY)	(muscle-eye-brain disease (MEB) mental retardation; developmental intellectual disorder anomaly)
DISTAL_MYOPATHY	distal myopathy	(WEAKNESS)	(weakness)
ULLRICH_MYOPATHY	Ullrich myopathy; Ullrich congenital muscular dystrophy; Ullrich scleroatonic muscular dystrophy	(MUSCLE_WEAKNESS)	(muscle weakness)
MUSCULAR_DYSTROPHY_TYPE_1C	muscular dystrophy type 1C (MDC1C)	(HYPOTONIA MUSCLE_WEAKNESS)	(hypotonia muscle weakness)
TARDIVE_TIBIAL_MUSCULAR_DYSTROPHY	tardive tibial muscular dystrophy (Udd myopathy)	(ATROPHY MUSCLE_WEAKNESS)	(atrophy muscle weakness)
MUSCULAR_DYSTROPHY_TYPE_1D	muscular dystrophy type 1D (MDC1D)	(MUSCLE_WEAKNESS)	(muscle weakness)
FUKUYAMA_CONGENITAL_MUSCULAR_DYSTROPHY	Fukuyama congenital muscular dystrophy (FCMD); Walker-Warburg syndrome FKTN-related	(SEIZURE HYPOTONIA GENERALIZED_MUSCLE_WEAKNESS)	(seizure; epileptic seizure hypotonia generalized muscle weakness)
OSTEOPOROSIS_PSEUDOGLIOMA_SYNDROME	osteoporosis pseudoglioma syndrome; osteogenesis imperfecta ocular form	(MENTAL_RETARDATION MICROCEPHALY SHORT_STATURE)	(mental retardation; developmental intellectual disorder microcephaly short stature)
AUTOIMMUNE_LYMPHOPROLIFERATIVE_SYNDROME	autoimmune lymphoproliferative syndrome (ALPS, Canale-Smith syndrome)	(LYMPHADENOPATHY)	(lymphadenopathy)
AUTOIMMUNE_LYMPHOPROLIFERATIVE_SYNDROME_TYPE_1B	autoimmune lymphoproliferative syndrome type 1B (ALPS1B, Canale-Smith syndrome, CSS)	(SPLENOMEGALY LYMPHADENOPATHY THROMBOCYTOPENIA HEMOLYTIC_ANEMIA)	(splenomegaly lymphadenopathy thrombocytopenia hemolytic anemia)
SEVERE_COMBINED_IMMUNODEFICIENCY_DISEASE_DUE_TO_NHEJ1_DEFECT	severe combined immunodeficiency disease due to NHEJ1 defect	(MICROCEPHALY)	(microcephaly)
ANTIPHOSPHOLIPID_SYNDROME	antiphospholipid syndrome (APS)	(THROMBOSIS ENDOCARDITIS THROMBOPHLEBITIS RAYNAUD^S_PHENOMENON EDEMA ERYTHEMA LIVEDOID_VASCULITIS LIVEDO_RETICULARIS PULMONARY_EMBOLISM DEEP_VEIN_THROMBOSIS)	(thrombosis endocarditis thrombophlebitis (includes superficial venous thrombosis) Raynaud's phenomenon edema (swelling) erythema livedoid vasculitis (atrophie blanche) livedo reticularis (mottled skin, cutis marmorata) pulmonary embolism (PE) deep vein thrombosis (DVT))
EPIDERMOLYSIS_BULLOSA_SIMPLEX_WITH_PYLORIC_ATRESIA	epidermolysis bullosa simplex with pyloric atresia (EBS-PA)	(ATRESIA)	(atresia (atretic, atresic, imperforate))
EPIDERMOLYSIS_BULLOSA_SIMPLEX_WITH_MIGRATORY_CIRCINATE_ERYTHEMA	epidermolysis bullosa simplex with migratory circinate erythema (EBSMCE)	(ERYTHEMA)	(erythema)
EPIDERMOLYSIS_BULLOSA_SIMPLEX_WITH_MOTTLED_PIGMENTATION	epidermolysis bullosa simplex with mottled pigmentation	(HYPOPIGMENTATION HYPERPIGMENTATION)	(hypopigmentation hyperpigmentation)
ICHTHYOSIS_HYSTRIX_CURTH_MACKLIN_TYPE	ichthyosis hystrix Curth-Macklin type	(ERYTHEMA PALMOPLANTAR_KERATODERMA HYPERKERATOSIS)	(erythema palmoplantar keratoderma hyperkeratosis)
ICHTHYOSIS_ANNULAR_EPIDERMOLYTIC	ichthyosis annular epidermolytic (cyclic ichthyosis with epidermolytic hyperkeratosis)	(HYPERKERATOSIS)	(hyperkeratosis)
ICHTHYOSIS_HARLEQUIN	ichthyosis harlequin (harlequin fetus)	(ECTROPION)	(ectropion)
HYPERTROPHIC_CARDIOMYOPATHY_TCAP_ASSOCIATED	hypertrophic cardiomyopathy, familial, TCAP associated	(CHEST_PAIN PALPITATION SYNCOPE DYSPNEA)	(chest pain palpitations syncope dyspnea (shortness of breath {SOB}))
FAMILIAL_HYPERTROPHIC_CARDIOMYOPATHY_4	familial hypertrophic cardiomyopathy, type 4	(SYNCOPE CHEST_PAIN PALPITATION DYSPNEA)	(syncope chest pain palpitations dyspnea (shortness of breath {SOB}))
FAMILIAL_HYPERTROPHIC_CARDIOMYOPATHY_1	familial hypertrophic cardiomyopathy, type 1	(CHEST_PAIN PALPITATION SYNCOPE DYSPNEA VENTRICULAR_HYPERTROPHY)	(chest pain palpitations syncope dyspnea (shortness of breath {SOB}) ventricular hypertrophy)
AUTOSOMAL_DOMINANT_DEAFNESS_23	autosomal dominant nonsyndromic sensorineural deafness 23	(HEARING_LOSS)	(hearing loss (hearing impairment, hard of hearing, HOH))
MITOCHONDRIAL_SENSORINEURAL_DEAFNESS	mitochondrial sensorineural deafness	(SENSORINEURAL_HEARING_LOSS)	(sensorineural hearing loss)
AUTOSOMAL_DOMINANT_SENSORINEURAL_DEAFNESS_TYPE_9	autosomal dominant sensorineural deafness type 9	(VERTIGO DEAFNESS)	(vertigo deafness)
AUTOSOMAL_RECESSIVE_DEAFNESS_TYPE_31	autosomal recessive deafness type 31	(SENSORINEURAL_HEARING_LOSS)	(sensorineural hearing loss)
AUTOSOMAL_RECESSIVE_NEUROSENSORY_DEAFNESS_7	autosomal recessive neurosensory deafness 7 (DFNB7); autosomal recessive neurosensory deafness 11 (DFNB11)	(HEARING_LOSS)	(hearing loss (hearing impairment, hard of hearing, HOH))
AUTOSOMAL_DOMINANT_NEUROSENSORY_DEAFNESS_36	autosomal dominant neurosensory deafness 36 (DFNA36)	(DEAFNESS HEARING_LOSS SENSORINEURAL_HEARING_LOSS)	(deafness hearing loss (hearing impairment, hard of hearing, HOH) sensorineural hearing loss)
AUTOSOMAL_DOMINANT_NONSYNDROMIC_SENSORINEURAL_DEAFNESS_14	autosomal dominant nonsyndromic sensorineural deafness 14 (deafness autosomal dominant type 6)	(PRESBYCUSIS TINNITUS HEARING_LOSS)	(presbycusis tinnitus hearing loss (hearing impairment, hard of hearing, HOH))
AUTOSOMAL_DOMINANT_NONSYNDROMIC_SENSORINEURAL_DEAFNESS_22	autosomal dominant nonsyndromic sensorineural deafness 22	(SENSORINEURAL_HEARING_LOSS)	(sensorineural hearing loss)
AUTOSOMAL_DOMINANT_NONSYNDROMIC_SENSORINEURAL_DEAFNESS_28	autosomal dominant nonsyndromic sensorineural deafness 28	(HEARING_LOSS)	(hearing loss (hearing impairment, hard of hearing, HOH))
X_LINKED_DEAFNESS_2	X-linked deafness 2	(SENSORINEURAL_HEARING_LOSS CONDUCTIVE_HEARING_LOSS)	(sensorineural hearing loss conductive hearing loss)
X_LINKED_DEAFNESS_1	X-linked deafness 1; congenital sensorineural deafness X-linked 2 (DFN2)	(HEARING_LOSS SENSORINEURAL_HEARING_LOSS)	(hearing loss (hearing impairment, hard of hearing, HOH) sensorineural hearing loss)
RETINITIS_PIGMENTOSA_35	retinitis pigmentosa type 35 (RP35)	(BLINDNESS)	(blindness)
RETINITIS_PIGMENTOSA_14	retinitis pigmentosa type 14 (RP14)	(BLINDNESS)	(blindness)
RETINITIS_PIGMENTOSA_12	retinitis pigmentosa type 12 (RP12)	(VISUAL_IMPAIRMENT VISUAL_FIELD_LOSS RETINITIS_PIGMENTOSA)	(visual impairment visual field loss retinitis pigmentosa (RP))
RETINITIS_PIGMENTOSA_3	retinitis pigmentosa type 3 (RP3)	(REFLEX)	(reflex)
RETINITIS_PIGMENTOSA_1	retinitis pigmentosa type 1 (RP1)	(BLINDNESS)	(blindness)
FAMILIAL_ISOLATED_VITAMIN_E_DEFICIENCY	familial isolated vitamin E deficiency (ataxia, Friedreich-like, with selective vitamin E deficiency)	(ATAXIA)	(ataxia)
LEUKOENCEPHALOPATHY_WITH_BRAINSTEM_&_SPINAL_CORD_INVOLVEMENT_&_LACTATE_ELEVATION	leukoencephalopathy with brainstem & spinal cord involvement & lactate elevation (LBSL)	(MINIMAL_COGNITIVE_IMPAIRMENT SPASTICITY CEREBELLAR_ATAXIA)	(minimal cognitive impairment (MCI); benign senile forgetfulness; age-associated memory impairment (AAMI) spasticity cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria))
NEUROFERRITINOPATHY	neuroferritinopathy; neurodegeneration with brain iron accumulation 3; basal ganglia disease, adult onset	(ATAXIA COGNITIVE_IMPAIRMENT)	(ataxia cognitive impairment)
SENSORY_ATAXIC_NEUROPATHY_DYSARTHRIA_&_OPHTHALMOPARESIS	sensory ataxic neuropathy, dysarthria & ophthalmoparesis (SANDO)	(OPHTHALMOPLEGIA DYSARTHRIA ATAXIA)	(ophthalmoplegia (ophthalmoparesis) dysarthria ataxia)
AMINOACYLASE_1_DEFICIENCY	aminoacylase-1 deficiency	(HYPOTONIA)	(hypotonia)
ATAXIA_OCULOMOTOR_APRAXIA_SYNDROME	ataxia-oculomotor apraxia syndrome; ataxia-telangiectasia-like syndrome; cerebellar ataxia early-onset with apraxia & hypoalbuminemia (EOCA-HA, AOA1)	(CHOREOATHETOSIS AREFLEXIA CEREBELLAR_ATAXIA OCULOMOTOR_APRAXIA)	(choreoathetosis areflexia cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria) oculomotor apraxia)
HEMIPLEGIA_ALTERANS	hemiplegia alterans (alternating hemiplegia)	(MIGRAINE_HEADACHE HYPERHIDROSIS MENTAL_RETARDATION PARALYSIS HEMIPLEGIA)	(migraine headache hyperhidrosis mental retardation; developmental intellectual disorder paralysis hemiplegia (HP))
PERIVENTRICULAR_NODULAR_HETEROTOPIA_TYPE_2	periventricular nodular heterotopia type-2 (periventricular heterotopia with microcephaly)	(MICROCEPHALY)	(microcephaly)
PERIVENTRICULAR_NODULAR_HETEROTOPIA_TYPE_1	periventricular nodular heterotopia type-1	(SEIZURE)	(seizure; epileptic seizure)
PERIVENTRICULAR_NODULAR_HETEROTOPIA_TYPE_4	periventricular nodular heterotopia type-4 (periventricular heterotopia Ehlers-Danlos variant)	(HYPERMOBILITY)	(hypermobility)
CONGENITAL_HYPOMYELINATION_NEUROPATHY	congenital hypomyelination neuropathy	(AREFLEXIA HYPOTONIA MUSCLE_WEAKNESS)	(areflexia hypotonia muscle weakness)
X_LINKED_ALPORT_SYNDROME/KCNE1L_MUTATION	X-linked Alport syndrome/KCNE1L mutation associated	(DEAFNESS GLOMERULONEPHRITIS MENTAL_RETARDATION)	(deafness glomerulonephritis (GN, nephritic syndrome) mental retardation; developmental intellectual disorder)
